Site,Point Number,Zone,Lattitude,Longitude,Date Set,Date Pulled,TN,Set Type,Ult Mic AZ,Distance to Clutter,Cam Set,Detection Radius,Camera Lens AZ,Right Bearing,Left Bearing ,Detection Angle ,Green BA,Red BA,Grey BA,Shrub Cover,Total VO,Total Canopy Cover ,Majority Species
MU-11,11,MU,40.96724,-106.26074,2024-05-28,2024-06-17,20,Both,100,,Tree,5,355,374,321,53,9,0,0,25,,,
MU-121,121,MU,41.23782,-106.28209,2024-06-27,2024-07-09,12,Both,345,2,Tree,8.8,276,284,239,45,8,0,3,25,,,
MU-124,124,MU,41.18397,-106.17754,2024-06-27,2024-07-08,11.75,Both,74,1,Tree,9.6,71,89,54,35,5,0,0,7,,,
MU-17,17,MU,40.96099,-106.24176,2024-05-28,2024-06-05,8,Both,335,,Tree,10.7,340,373,324,49,6,0,2,5,,,
MU-76,76,MU,41.06666,-106.17399,2024-05-27,2024-06-17,21.00268519,Both,190,,Tree,6.2,45,61,21,40,2,0,3,40,,,
MU-91,91,MU,41.19696,-106.30634,2024-06-18,2024-07-09,21,Both,41,2,Tree,7.7,174,148,210,62,8,0,1,5,,,
MU-008,008,MU,40.94369,-106.26334,2024-08-01,2024-08-20,19.05381944,Both,311,2,Tree,9.8,356,377,335,42,0,0,3,2,,,
MU-022,022,MU,41.0225,-106.2507,2024-08-01,2024-08-20,19,Cam Only,,,Tree,7.5,326,352,297,55,0,0,0,1,,,
MU-036,036,MU,41.09651,-106.29768,2024-07-08,2024-07-31,22.91359954,Cam Only,,,Tree,4,31,53,13,40,0,0,2,10,,,
MU-106,106,MU,41.09454,-106.12841,2024-05-27,2024-06-05,9,Both,230,,Tree,5.25,252,266,234,32,0,1,9,20,,,
MU-126,126,MU,41.17924,-10616112,2024-06-05,2024-06-18,13,Cam Only,,,Tree,8,330,345,315,30,0,0,10,1,,,
MU-38,38,MU,41.07585,-106.26449,2024-06-18,2024-07-08,20,Both,115,4,Tree,7.7,174,148,210,62,0,0,2,10,,,
MU-70,70,MU,41.06622,-106.1907,2024-06-05,2024-06-17,11.85978009,Both,168,,Tree,7.4,345,362,331,31,0,0,7,7,,,
MU-9,9,MU,40.98886,-106.28196,2024-05-28,2024-06-17,19.99018519,Both,315,,Tree,6.5,20,29,52,23,5,0,6,3,,,
